,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases/1Mpop,Deaths/1Mpop,TotalTests,Tests/1Mpop,Population
210,Anguilla,25,0,0,0,22,3,0,1655,0,14579,965177,15105
211,Saint Pierre Miquelon,24,0,0,0,24,0,0,4158,0,5126,888080,5772
212,Montserrat,20,0,1,0,19,0,0,4005,200,1313,262915,4994
213,Solomon Islands,19,0,0,0,18,1,0,27,0,4500,6431,699688
214,Western Sahara,10,0,1,0,8,1,0,16,2,0,0,608502
215,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0
216,Marshall Islands,4,0,0,0,4,0,0,67,0,0,0,59496
217,Samoa,3,0,0,0,2,1,0,15,0,0,0,199424
218,Vanuatu,3,0,0,0,1,2,0,10,0,470,1504,312603
219,Micronesia,1,0,0,0,1,0,0,9,0,0,0,115945
220,China,90365,24,4636,0,85466,263,1,63,3,160000000,111163,1439323776
